Time,Duration
"Mar 11, 2021, 12:10:00 PM",0
"Mar 11, 2021, 12:29:00 PM",51
"Mar 11, 2021, 12:30:00 PM",28
"Mar 11, 2021, 12:33:00 PM",47
"Mar 11, 2021, 12:34:00 PM",0
"Mar 11, 2021, 12:38:00 PM",49
"Mar 11, 2021, 12:39:00 PM",27
"Mar 11, 2021, 12:43:00 PM",8
"Mar 11, 2021, 12:45:00 PM",17
"Mar 11, 2021, 12:46:00 PM",0
"Mar 11, 2021, 12:57:00 PM",1
"Mar 11, 2021, 12:58:00 PM",0
"Mar 11, 2021, 1:13:00 PM",21
"Mar 11, 2021, 1:34:00 PM",80
"Mar 11, 2021, 1:35:00 PM",0
"Mar 11, 2021, 1:39:00 PM",58
"Mar 11, 2021, 1:40:00 PM",0
"Mar 11, 2021, 1:42:00 PM",6
"Mar 11, 2021, 1:44:00 PM",31
"Mar 11, 2021, 1:45:00 PM",29
"Mar 11, 2021, 1:46:00 PM",0
"Mar 11, 2021, 2:16:00 PM",1
"Mar 11, 2021, 2:24:00 PM",138
"Mar 11, 2021, 2:26:00 PM",0
"Mar 11, 2021, 2:37:00 PM",78
"Mar 11, 2021, 2:38:00 PM",0
"Mar 11, 2021, 2:47:00 PM",0
"Mar 11, 2021, 3:11:00 PM",20
"Mar 11, 2021, 3:18:00 PM",133
"Mar 11, 2021, 3:19:00 PM","1,075"
"Mar 11, 2021, 3:20:00 PM",0
"Mar 11, 2021, 3:21:00 PM",0
"Mar 11, 2021, 3:35:00 PM",0
"Mar 11, 2021, 3:36:00 PM",0
"Mar 11, 2021, 3:37:00 PM",0
"Mar 11, 2021, 3:40:00 PM",670
"Mar 11, 2021, 3:41:00 PM",0
"Mar 11, 2021, 3:50:00 PM",89
"Mar 11, 2021, 3:51:00 PM",0
"Mar 11, 2021, 3:52:00 PM",0
"Mar 11, 2021, 3:54:00 PM",83
"Mar 11, 2021, 3:55:00 PM",0
"Mar 11, 2021, 3:56:00 PM",0
"Mar 11, 2021, 4:00:00 PM",20
"Mar 11, 2021, 4:01:00 PM",0
"Mar 11, 2021, 4:23:00 PM",1
"Mar 11, 2021, 4:24:00 PM",69
"Mar 11, 2021, 4:25:00 PM",0
"Mar 11, 2021, 4:55:00 PM",4
"Mar 11, 2021, 4:58:00 PM","1,313"
"Mar 11, 2021, 5:11:00 PM",1
"Mar 11, 2021, 5:20:00 PM",0
"Mar 11, 2021, 5:23:00 PM",329
"Mar 11, 2021, 5:25:00 PM",0
